, ,instrument date,district,property,floor,unit,area_sq.ft.,price,price/sq.ft.,source,e_n
121, ,02/02/2019,Tuen Mun,"No. 0003, Tak Wing Industrial Building, Tsun Wen Road, Tuen Mun, New Territories",20,D03,211,3800.0,@$18,Market,"(815110, 828521)"
122, ,02/02/2019,Tuen Mun,"No. 0003, Tak Wing Industrial Building, Tsun Wen Road, Tuen Mun, New Territories",20,D05,269,4300.0,@$16,Market,"(815110, 828521)"
123, ,02/02/2019,Tuen Mun,"No. 0003, Tak Wing Industrial Building, Tsun Wen Road, Tuen Mun, New Territories",9,A07,257,4200.0,@$16,Market,"(815110, 828521)"
124, ,02/02/2019,Kwun Tong,"No. 0016, East Sun Industrial Centre, Shing Yip Street, Kwun Tong, Kowloon",3,F(11),91,3800.0,@$42,Market,"(841321, 818989)"
125, ,02/02/2019,Kwun Tong,"No. 0016, East Sun Industrial Centre, Shing Yip Street, Kwun Tong, Kowloon",3,F(25),89,3400.0,@$38,Market,"(841321, 818989)"
126, ,02/02/2019,Kwun Tong,"No. 0016, East Sun Industrial Centre, Shing Yip Street, Kwun Tong, Kowloon",11,A(02),120,4000.0,@$33,Market,"(841321, 818989)"
127, ,02/02/2019,Sham Shui Po,"Shop  on G/F, , No.0225-0227 Lai Chi Kok Road, Sham Shui Po, Kowloon",-,-,2200,80000.0,@$36,Market,"(833362.9631, 821867.770540001)"
128, ,02/02/2019,Causeway Bay,"Shop  on G/F, & 1/F, No.0014 Kai Chiu Road, Causeway Bay, Hong Kong",-,-,1500,58000.0,@$39,Market,request_failed
129, ,02/02/2019,Kwun Tong,"No. 0016, East Sun Industrial Centre, Shing Yip Street, Kwun Tong, Kowloon",3,F(22),87,3400.0,@$39,Market,"(841321, 818989)"
130, ,02/02/2019,Kwun Tong,"No. 0016, East Sun Industrial Centre, Shing Yip Street, Kwun Tong, Kowloon",4,D08,162,4500.0,@$28,Market,"(841321, 818989)"
131, ,02/02/2019,Kwun Tong,"No. 0016, East Sun Industrial Centre, Shing Yip Street, Kwun Tong, Kowloon",11,A(11),110,3800.0,@$35,Market,"(841321, 818989)"
